@relation InstanceResultListener

@attribute Key_Dataset {pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.functions.SMO,weka.classifiers.functions.Logistic,weka.classifiers.lazy.IBk,weka.classifiers.trees.LMT}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-R 1.0E-8 -M -1 -num-decimal-places 4','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-I -1 -M 15 -W 0.0'}
@attribute Key_Scheme_version_ID {-217733168393644444,-6585883636378691736,3932117032546553727,-3080186098777067172,-1113212459618104943}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 15607\nSize of the tree: 31213\n','Number of leaves: 15808\nSize of the tree: 31615\n','Number of leaves: 15704\nSize of the tree: 31407\n','Number of leaves: 15548\nSize of the tree: 31095\n','Number of leaves: 15892\nSize of the tree: 31783\n','Number of leaves: 15702\nSize of the tree: 31403\n','Number of leaves: 15578\nSize of the tree: 31155\n','Number of leaves: 15837\nSize of the tree: 31673\n','Number of leaves: 15708\nSize of the tree: 31415\n','Number of leaves: 15734\nSize of the tree: 31467\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220606.2149,52542,5838,683,5155,0,11.699212,88.300788,0,0.057077,0.035181,0.159649,94.801868,117.205403,28524.295717,4135492.773387,-4106968.47767,4.88597,708.374918,-703.488948,3825.133208,0.655213,13.410088,0.171429,18,0.016745,96,0.983255,5637,0.828571,87,0.157895,0.171429,0.164384,0.148569,0.620178,0.080205,0.116992,0.061006,0.938994,0.883008,0.110128,0.116992,0.110489,0.0566,0.554296,0.077159,0.107178,0.116992,12.375,0.087,12.109375,0.09375,12109.375,93.75,36273298,4888886,545414,25.50531,6.604128,'Number of leaves: 15607\nSize of the tree: 31213\n',31213,15607,15607
pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220606.2149,52542,5838,719,5119,0,12.315862,87.684138,0,0.064147,0.035078,0.1595,94.522535,117.094497,28528.076063,4127919.172554,-4099391.096491,4.886618,707.077625,-702.191007,3777.134202,0.646991,13.240059,0.180952,19,0.018838,108,0.981162,5625,0.819048,86,0.149606,0.180952,0.163793,0.147689,0.592863,0.083697,0.123159,0.059599,0.940401,0.876841,0.116929,0.123159,0.117044,0.064335,0.558263,0.077978,0.10809,0.123159,13.476,0.079,13.296875,0.078125,13296.875,78.125,36740422,4888886,545414,25.50531,6.53091,'Number of leaves: 15808\nSize of the tree: 31615\n',31615,15808,15808
pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220606.215,52542,5838,712,5126,0,12.195958,87.804042,0,0.062297,0.035025,0.159075,94.38088,116.781989,28529.720037,4057355.341603,-4028825.621566,4.8869,694.990637,-690.103738,3865.019433,0.662045,13.547344,0.209524,22,0.01971,113,0.98029,5620,0.790476,83,0.162963,0.209524,0.183333,0.167839,0.608964,0.092282,0.12196,0.060563,0.939437,0.87804,0.113173,0.12196,0.114871,0.0613,0.556903,0.078864,0.104184,0.12196,14.311,0.063,14.234375,0.0625,14234.375,62.5,36498726,4888886,545414,26.224734,6.643089,'Number of leaves: 15704\nSize of the tree: 31407\n',31407,15704,15704
pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220606.215,52542,5838,700,5138,0,11.990408,88.009592,0,0.059874,0.035055,0.159021,94.460234,116.742356,28530.662552,3985613.224772,-3957082.56222,4.887061,682.70182,-677.814759,4030.527883,0.690395,14.127004,0.179245,19,0.018493,106,0.981507,5626,0.820755,87,0.152,0.179245,0.164502,0.148278,0.613145,0.062481,0.119904,0.061129,0.938871,0.880096,0.112241,0.119904,0.113208,0.059328,0.564019,0.078766,0.107466,0.119904,13.528,0.094,13.40625,0.09375,13406.25,93.75,36136182,4888886,545414,27.560808,6.752581,'Number of leaves: 15548\nSize of the tree: 31095\n',31095,15548,15548
pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220606.215,52542,5838,712,5126,0,12.195958,87.804042,0,0.062646,0.035075,0.159611,94.515726,117.175554,28528.973318,4117455.636583,-4088926.663265,4.886772,705.285309,-700.398538,3774.388822,0.646521,13.23002,0.188679,20,0.022505,129,0.977495,5603,0.811321,86,0.134228,0.188679,0.156863,0.140688,0.620716,0.070534,0.12196,0.06047,0.93953,0.87804,0.114754,0.12196,0.115371,0.061895,0.554607,0.077529,0.113776,0.12196,15.458,0.083,15.28125,0.09375,15281.25,93.75,36935638,4888886,545414,25.214114,6.484224,'Number of leaves: 15892\nSize of the tree: 31783\n',31783,15892,15892
pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220606.215,52542,5838,686,5152,0,11.7506,88.2494,0,0.058906,0.035195,0.159708,94.837735,117.24525,28528.45064,4167347.076235,-4138818.625595,4.886682,713.831291,-708.944609,3741.38068,0.640867,13.11456,0.169811,18,0.020412,117,0.979588,5615,0.830189,88,0.133333,0.169811,0.149378,0.13272,0.579058,0.065018,0.117506,0.059337,0.940663,0.882494,0.110211,0.117506,0.11145,0.058173,0.555407,0.076332,0.103895,0.117506,14.586,0.084,14.484375,0.078125,14484.375,78.125,36494078,4888886,545414,25.539568,6.516803,'Number of leaves: 15702\nSize of the tree: 31403\n',31403,15702,15702
pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220606.2151,52542,5838,659,5179,0,11.288112,88.711888,0,0.051861,0.035184,0.159533,94.809879,117.117972,28524.178388,4073416.771029,-4044892.592642,4.88595,697.741824,-692.855874,3756.1266,0.643393,13.16822,0.142857,15,0.016396,94,0.983604,5639,0.857143,90,0.137615,0.142857,0.140187,0.124162,0.621948,0.075877,0.112881,0.062064,0.937936,0.887119,0.108512,0.112881,0.107185,0.05294,0.557876,0.077151,0.10051,0.112881,13.306,0.087,13.203125,0.078125,13203.125,78.125,36205902,4888886,545414,26.498801,6.7462,'Number of leaves: 15578\nSize of the tree: 31155\n',31155,15578,15578
pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220606.2151,52542,5838,675,5163,0,11.562179,88.437821,0,0.055303,0.035266,0.16013,95.029547,117.556467,28525.732009,4219875.437603,-4191349.705593,4.886217,722.828955,-717.942738,3606.687409,0.617795,12.643628,0.190476,20,0.017617,101,0.982383,5632,0.809524,85,0.165289,0.190476,0.176991,0.16125,0.614423,0.085942,0.115622,0.060812,0.939188,0.884378,0.105965,0.115622,0.10822,0.054515,0.550641,0.07592,0.100131,0.115622,13.422,0.089,13.34375,0.09375,13343.75,93.75,36807818,4888886,545414,24.70024,6.514788,'Number of leaves: 15837\nSize of the tree: 31673\n',31673,15837,15837
pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220606.2151,52542,5838,714,5124,0,12.230216,87.769784,0,0.062872,0.03502,0.159018,94.366552,116.741021,28524.947407,4151134.952971,-4122610.005563,4.886082,711.054291,-706.168209,3948.167759,0.676288,13.841104,0.12381,13,0.020408,117,0.979592,5616,0.87619,92,0.1,0.12381,0.110638,0.093132,0.595102,0.05994,0.122302,0.060293,0.939707,0.877698,0.114694,0.122302,0.116028,0.0625,0.557441,0.080876,0.115497,0.122302,13.609,0.071,13.40625,0.078125,13406.25,78.125,36508022,4888886,545414,26.327509,6.635364,'Number of leaves: 15708\nSize of the tree: 31415\n',31415,15708,15708
pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220606.2151,52542,5838,736,5102,0,12.607057,87.392943,0,0.066074,0.034951,0.159267,94.179492,116.921994,28528.261496,4097710.595827,-4069182.334331,4.88665,701.903151,-697.016501,3948.496065,0.676344,13.840647,0.209524,22,0.020583,118,0.979417,5615,0.790476,83,0.157143,0.209524,0.179592,0.16413,0.611997,0.0831,0.126071,0.060708,0.939292,0.873929,0.11843,0.126071,0.118979,0.066029,0.561231,0.080146,0.111443,0.126071,13.707,0.069,13.546875,0.0625,13546.875,62.5,36568446,4888886,545414,26.51593,6.528559,'Number of leaves: 15734\nSize of the tree: 31467\n',31467,15734,15734
pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20220606.2151,52542,5838,875,4963,0,14.98801,85.01199,0,0,0.038008,0.137541,102.420874,100.974793,28524.295717,35276.601507,-6752.30579,4.88597,6.042583,-1.156613,1563.846122,0.267874,5.482506,0,0,0,0,1,5733,1,105,?,0,?,?,0.61879,0.025524,0.14988,0.14988,0.85012,0.85012,?,0.14988,?,?,0.540885,0.056229,?,0.14988,11.408,0.222,11.15625,0.21875,11156.25,218.75,313069,4888886,545414,96.779719,78.554971,?,?,?,?
